	document	label
184	해지방법이 너무 까다롭다	0
31	콘테츠 다양성	0
51	다양한 컨텐츠가 없다.	0
130	볼거리가 다양하다	1
265	결합상품이라 가격이 저렴해서 이용하기 좋다	1
148	"""jtbc, tvn이 안된다"""	0
256	시스템이 잘되어있음	1
258	이어보기가 안된다	0
164	없다	0
176	없음	0
45	콘텐츠가 다양하지 않아서	0
80	콘텐츠가 다양하지만 보고싶은 영상이 종종없음 ㅠㅠ	0
143	다큐 프로그램중 안 뜨는게 있어서	0
57	보통이다	0
134	없습니다	0
74	"""결합으로 가격이 저렴하고, 다양한 쿠폰 제공"""	1
146	다양한 프로그램을 볼수 있다	1
153	너무 재밌어서 넷플릭스를 보는데 시간을 많이 P긴다.	0
101	그냥 그렇다	0
160	나무랄때가 없음	1
264	이용하기 편하고 다양한 콘텐츠를 접하기 좋다	1
182	"""UI가 사용하기에 편하게 구현되어 있음 넷플릭스, 유튜브 등의 기능을 바로 사용할 수 있어 좋음 큰 화면으로 볼 수 있어서 좋음 그리고 넷플, 유튜브 등에 접속하는 방법도 간편  자체 제공되는 채널 수도 많음 시간을 보내기에 매우 적합함 """	1
0	안정적	1
61	기가지니 대답도 빠르고 다른것들도 다 해봤는데 올레가 제일 간편하고 빠름	1
140	다양한 채널과 좋은 키즈 프로그램이 많아서	1
48	최신 프로그램이나 영화의 종류가 적다	0
244	다시보기 재생~	0
230	볼만한게 많지 않아요	0
69	컨텐츠가 많지 않다	0
215	장애가 없고 보고싶은 채널이 많다.	1
132	장단점	0
158	없음	0
243	그냥스렇다	0
85	어떤점이 특별하게 좋아서라기 보다.. 쓰는데 불편함이 없기에  누군가 물음 추천 의향있습니다	1
43	검색등이 편리하여 쉽게 원하는 영화등의 컨텐츠를 볼수있고 다양하다	1
11	구지 추천할 이유가 없음 각자 알아서들 잘봄	0
52	편하게 볼수있다	0
24	이용할 수 있는 콘텐츠가 제한적	0
209	화질이 좋아서	1
22	여러가지 프로모션과 할인쿠폰이 다양해서	1
39	좋긴한데 잘안쓰게됨생각보다	0
172	금액이 비싸서	0
156	보고싶은 프로그램이 다양한	0
115	요금이 비싸서 혼자서 보는건 추천을 안하는편입니다	0
75	"""채널이 다양한 것 같지만, 실제로 이용해 보면 다양하지 않았다."""	0
83	컨텐츠가 다양하다	1
42	이동통신과 연계해서 할인되어서	1
193	프로그램의 특화율이 점점 떨어지는거 같다	0
29	컨텐츠 양은 많은데 질은 떨어짐	0
76	프로그램의 종류가 다양하지 않은 것 같다. vod 종류가 적다	0
211	티비를 볼수 있으면 그냥 티비를 보는게 낫다. 채널이 부족하다.	0
198	업데이트가 너무 느리고 최근꺼가 너무 늦다	0
263	넷플릭스 지원	1
202	서비스가 좋고 다양한 채널이 있어 유용합니다.	1
70	고정지출이 있어서	0
268	유료서비스	0
35	티빙만의 프로그램편성이 재미가있다	0
248	특별히 없다	0
17	유사 제품이 많고 티빙 만의 특별한 장점을 몰라서 타인에게 추천하기 어렵다.	0
201	이동통신사 결합할 수 있어서	1
78	딱히없다	0
23	UI도 편하고 좋음	1
207	보고 싶은 것을 마음껏 볼 수 있어서	0
63	컨텐츠와 내용이 다양함	1
16	큰 화면	1
93	평범함	0
121	딱히 없다	0
112	보통	0
235	통신사요금제로 무료 사용이나 추가결재해야할 것이 많음.	0
13	실시간으로 볼수도 있고 내가 원하는 티비프로나 서비스를 저렴한가격으로 찾아서볼수있다 영화도 무료로 볼수있다	1
34	드라마를 찾기 힘들고 가끔 검색이 제대로 안될때가 있다	0
173	믿을 수 있는 브랜드이기도 하고 익숙해서 그런지 이용하기 편해요	1
191	회사 신뢰도	1
261	많은 ott 서비스가 있어서 본인들의 취향에 맞게 선택할 일이다.	0
30	다른 서비스랑 차이가 없다	0
19	컨텐츠가 매우 좋고 실시간으로 내가 보고 싶은것을 볼 수 있어 좋다	1
116	없음	0
254	다양한 드라마 부족.....	0
227	모름	0
14	홈 메뉴 구성이 깔끔하고 컨텐츠가 다양하며 이어보기 기능이 편리하기 때문	1
9	가장 대중화되어 있음	1
238	별로	0
170	넷플릭스 같은 자체 제작 콘텐츠가 없어요.	0
18	VOD컨텐츠가 다소 적음	0
20	초고속 인터넷과도 연결이 되고 가족들이 서비스를 동시에 받을 수 있어서	1
92	비싸다	0
249	비싸다	0
59	한정된 채널인것 같아서 별로인듯. 많은 컨텐츠가 필요하다	0
255	사용이 편리해서	1
104	다시보기가 편하다. 이용하기편해서 늘 이용한다	1
94	다양하지 않음	0
